task,variance,lengthscale,rho,seed,objective_mle,objective_mae
PBE_SCAN,2.12637467796055,1.04940689937451,1.0,82,-981.399687574427,0.00111319459483931
SCAN_PBE_CCSDT,2.12637467796055,1.04940689937451,0.811345991970619,82,-981.399687574427,0.00111319459483931
PBE_SCAN_CCSDT,2.12637467796055,1.04940689937451,-0.270734239113682,82,-981.399687574427,0.00111319459483931
CCSDT_PBE,10.46781809895,1.05035592665318,1.0,30,-851.643025601124,0.00161329086442795
CCSDT_PBE_SCAN,10.46781809895,1.05035592665318,0.782394238024017,30,-851.643025601124,0.00161329086442795
CCSDT_SCAN,2.11371698380166,1.17863755331461,1.0,36,-881.662352145914,0.00224776497038708
CCSDT_SCAN_PBE,2.11371698380166,1.17863755331461,0.782394238024017,36,-881.662352145914,0.00224776497038708
SCAN_PBE,7.32226358789462,1.04940689937452,1.0,6,-981.399687574427,0.000969029810462213
PBE_SCAN,7.32226358789462,1.04940689937452,1.0,6,-981.399687574427,0.000969029810462213
SCAN_PBE_CCSDT,7.32226358789462,1.04940689937452,0.811345991970619,6,-981.399687574427,0.000969029810462213
PBE_SCAN_CCSDT,7.32226358789462,1.04940689937452,-0.270734239113682,6,-981.399687574427,0.000969029810462213
CCSDT_PBE,3913.52822079372,1.05035592665318,1.0,49,-851.643025601124,0.00181755091963334
CCSDT_PBE_SCAN,3913.52822079372,1.05035592665318,0.782394238024017,49,-851.643025601124,0.00181755091963334
SCAN_PBE,1.16998765519853,1.04940689937451,1.0,5,-981.399687574427,0.00102384445615901
PBE_SCAN,1.16998765519853,1.04940689937451,1.0,5,-981.399687574427,0.00102384445615901
SCAN_PBE_CCSDT,1.16998765519853,1.04940689937451,0.811345991970619,5,-981.399687574427,0.00102384445615901
PBE_SCAN_CCSDT,1.16998765519853,1.04940689937451,-0.270734239113682,5,-981.399687574427,0.00102384445615901
CCSDT_PBE,7.75414227018717,1.05035592665317,1.0,38,-851.643025601123,0.00196054754211666
CCSDT_PBE_SCAN,7.75414227018717,1.05035592665317,0.782394238024017,38,-851.643025601123,0.00196054754211666
CCSDT_SCAN,2.82250595410405,1.17863755331459,1.0,69,-881.662352145915,0.00178473922717909
CCSDT_SCAN_PBE,2.82250595410405,1.17863755331459,0.782394238024017,69,-881.662352145915,0.00178473922717909
CCSDT_PBE,1.66693355629058,1.05035592665317,1.0,10,-851.643025601123,0.00231664784861997
CCSDT_PBE_SCAN,1.66693355629058,1.05035592665317,0.782394238024017,10,-851.643025601123,0.00231664784861997
SCAN_PBE,0.340356329404171,1.04940689937452,1.0,38,-981.399687574427,0.000910445019938717
PBE_SCAN,0.340356329404171,1.04940689937452,1.0,38,-981.399687574427,0.000910445019938717
SCAN_PBE_CCSDT,0.340356329404171,1.04940689937452,0.811345991970619,38,-981.399687574427,0.000910445019938717
PBE_SCAN_CCSDT,0.340356329404171,1.04940689937452,-0.270734239113682,38,-981.399687574427,0.000910445019938717
CCSDT_SCAN,6.04943985650229e-9,1.17863755331458,1.0,39,-881.662352145914,0.00204104462507042
CCSDT_SCAN_PBE,6.04943985650229e-9,1.17863755331458,0.782394238024017,39,-881.662352145914,0.00204104462507042
SCAN_PBE,3794.85092270927,1.04940689937452,1.0,45,-981.399687574427,0.000829388609384604
PBE_SCAN,3794.85092270927,1.04940689937452,1.0,45,-981.399687574427,0.000829388609384604
SCAN_PBE_CCSDT,3794.85092270927,1.04940689937452,0.811345991970619,45,-981.399687574427,0.000829388609384604
PBE_SCAN_CCSDT,3794.85092270927,1.04940689937452,-0.270734239113682,45,-981.399687574427,0.000829388609384604
SCAN_PBE,0.229808042542313,1.04940689937451,1.0,48,-981.399687574427,0.000775884045658381
PBE_SCAN,0.229808042542313,1.04940689937451,1.0,48,-981.399687574427,0.000775884045658381
SCAN_PBE_CCSDT,0.229808042542313,1.04940689937451,0.811345991970619,48,-981.399687574427,0.000775884045658381
PBE_SCAN_CCSDT,0.229808042542313,1.04940689937451,-0.270734239113682,48,-981.399687574427,0.000775884045658381
CCSDT_SCAN,8.14553237726086,1.17863755331458,1.0,89,-881.662352145915,0.00228843549614706
CCSDT_SCAN_PBE,8.14553237726086,1.17863755331458,0.782394238024017,89,-881.662352145915,0.00228843549614706
CCSDT_PBE,0.436407391512883,1.05035592665317,1.0,89,-851.643025601123,0.00207571610964168
CCSDT_PBE_SCAN,0.436407391512883,1.05035592665317,0.782394238024017,89,-851.643025601123,0.00207571610964168
CCSDT_SCAN,32954.7890700836,1.17863755331463,1.0,74,-881.662352145915,0.00190689723146891
CCSDT_SCAN_PBE,32954.7890700836,1.17863755331463,0.782394238024017,74,-881.662352145915,0.00190689723146891
CCSDT_SCAN,15.5019081274952,1.17863755331458,1.0,39,-881.662352145914,0.00179083220632496
CCSDT_SCAN_PBE,15.5019081274952,1.17863755331458,0.782394238024017,39,-881.662352145914,0.00179083220632496
CCSDT_PBE,275617.004737944,1.05035592665318,1.0,77,-851.643025601123,0.00288579751306227
CCSDT_PBE_SCAN,275617.004737944,1.05035592665318,0.782394238024017,77,-851.643025601123,0.00288579751306227
SCAN_PBE,0.719810677959039,1.04940689937451,1.0,47,-981.399687574427,0.00134458327944566
PBE_SCAN,0.719810677959039,1.04940689937451,1.0,47,-981.399687574427,0.00134458327944566
SCAN_PBE_CCSDT,0.719810677959039,1.04940689937451,0.811345991970619,47,-981.399687574427,0.00134458327944566
PBE_SCAN_CCSDT,0.719810677959039,1.04940689937451,-0.270734239113682,47,-981.399687574427,0.00134458327944566
CCSDT_SCAN,0.870078140003614,1.17863755331462,1.0,57,-881.662352145914,0.00202180792013401
CCSDT_SCAN_PBE,0.870078140003614,1.17863755331462,0.782394238024017,57,-881.662352145914,0.00202180792013401
SCAN_PBE,0.470100156603147,1.0494068993745,1.0,46,-981.399687574427,0.00111653155821295
PBE_SCAN,0.470100156603147,1.0494068993745,1.0,46,-981.399687574427,0.00111653155821295
SCAN_PBE_CCSDT,0.470100156603147,1.0494068993745,0.811345991970619,46,-981.399687574427,0.00111653155821295
PBE_SCAN_CCSDT,0.470100156603147,1.0494068993745,-0.270734239113682,46,-981.399687574427,0.00111653155821295
CCSDT_SCAN,2.44007764134575,1.1786375533146,1.0,25,-881.662352145914,0.00134318886581107
CCSDT_SCAN_PBE,2.44007764134575,1.1786375533146,0.782394238024017,25,-881.662352145914,0.00134318886581107
CCSDT_SCAN,56589.7149678254,1.1786375533146,1.0,25,-881.662352145914,0.0019241895429887
CCSDT_SCAN_PBE,56589.7149678254,1.1786375533146,0.782394238024017,25,-881.662352145914,0.0019241895429887
SCAN_PBE,6.72869460859256,1.04940689937451,1.0,69,-981.399687574426,0.000905850075077947
PBE_SCAN,6.72869460859256,1.04940689937451,1.0,69,-981.399687574426,0.000905850075077947
SCAN_PBE_CCSDT,6.72869460859256,1.04940689937451,0.811345991970619,69,-981.399687574426,0.000905850075077947
PBE_SCAN_CCSDT,6.72869460859256,1.04940689937451,-0.270734239113682,69,-981.399687574426,0.000905850075077947
SCAN_PBE,2.71828182845904,1.04940689937451,1.0,25,-981.399687574427,0.000871320035097518
PBE_SCAN,2.71828182845904,1.04940689937451,1.0,25,-981.399687574427,0.000871320035097518
SCAN_PBE_CCSDT,2.71828182845904,1.04940689937451,0.811345991970619,25,-981.399687574427,0.000871320035097518
PBE_SCAN_CCSDT,2.71828182845904,1.04940689937451,-0.270734239113682,25,-981.399687574427,0.000871320035097518
CCSDT_SCAN,0.00953897329982928,1.17863755331461,1.0,90,-881.662352145914,0.00194823580708838
CCSDT_SCAN_PBE,0.00953897329982928,1.17863755331461,0.782394238024017,90,-881.662352145914,0.00194823580708838
CCSDT_PBE,5.34300734453615,1.05035592665318,1.0,66,-851.643025601123,0.00189894277988934
CCSDT_PBE_SCAN,5.34300734453615,1.05035592665318,0.782394238024017,66,-851.643025601123,0.00189894277988934
SCAN_PBE,1.41068322175646,1.04940689937451,1.0,22,-981.399687574426,0.000901543196797102
PBE_SCAN,1.41068322175646,1.04940689937451,1.0,22,-981.399687574426,0.000901543196797102
SCAN_PBE_CCSDT,1.41068322175646,1.04940689937451,0.811345991970619,22,-981.399687574426,0.000901543196797102
PBE_SCAN_CCSDT,1.41068322175646,1.04940689937451,-0.270734239113682,22,-981.399687574426,0.000901543196797102
CCSDT_PBE,2.15405023544749,1.05035592665316,1.0,54,-851.643025601123,0.00183867438656539
CCSDT_PBE_SCAN,2.15405023544749,1.05035592665316,0.782394238024017,54,-851.643025601123,0.00183867438656539
CCSDT_PBE,1.54095211565222,1.05035592665318,1.0,78,-851.643025601123,0.00211578054844077
CCSDT_PBE_SCAN,1.54095211565222,1.05035592665318,0.782394238024017,78,-851.643025601123,0.00211578054844077
CCSDT_SCAN,4.43829463918942,1.1786375533146,1.0,100,-881.662352145915,0.00182259101573886
CCSDT_SCAN_PBE,4.43829463918942,1.1786375533146,0.782394238024017,100,-881.662352145915,0.00182259101573886
SCAN_PBE,0.493113672423783,1.04940689937452,1.0,96,-981.399687574427,0.000658420394371337
PBE_SCAN,0.493113672423783,1.04940689937452,1.0,96,-981.399687574427,0.000658420394371337
SCAN_PBE_CCSDT,0.493113672423783,1.04940689937452,0.811345991970619,96,-981.399687574427,0.000658420394371337
PBE_SCAN_CCSDT,0.493113672423783,1.04940689937452,-0.270734239113682,96,-981.399687574427,0.000658420394371337
SCAN_PBE,2.11648906139718,1.04940689937451,1.0,76,-981.399687574426,0.000779617665927006
PBE_SCAN,2.11648906139718,1.04940689937451,1.0,76,-981.399687574426,0.000779617665927006
SCAN_PBE_CCSDT,2.11648906139718,1.04940689937451,0.811345991970619,76,-981.399687574426,0.000779617665927006
PBE_SCAN_CCSDT,2.11648906139718,1.04940689937451,-0.270734239113682,76,-981.399687574426,0.000779617665927006
CCSDT_SCAN,12.7651375037625,1.17863755331459,1.0,72,-881.662352145915,0.00165439254786635
CCSDT_SCAN_PBE,12.7651375037625,1.17863755331459,0.782394238024017,72,-881.662352145915,0.00165439254786635
CCSDT_SCAN,41.6581339314892,1.17863755331459,1.0,83,-881.662352145914,0.00204154768122742
CCSDT_SCAN_PBE,41.6581339314892,1.17863755331459,0.782394238024017,83,-881.662352145914,0.00204154768122742
CCSDT_SCAN,4.10487743031861,1.17863755331461,1.0,85,-881.662352145915,0.00193213903945603
CCSDT_SCAN_PBE,4.10487743031861,1.17863755331461,0.782394238024017,85,-881.662352145915,0.00193213903945603
CCSDT_SCAN,3.00851654038373,1.17863755331462,1.0,84,-881.662352145915,0.00143519979834609
CCSDT_SCAN_PBE,3.00851654038373,1.17863755331462,0.782394238024017,84,-881.662352145915,0.00143519979834609
CCSDT_PBE,2.08740866968613,1.05035592665317,1.0,92,-851.643025601123,0.00293118944175503
CCSDT_PBE_SCAN,2.08740866968613,1.05035592665317,0.782394238024017,92,-851.643025601123,0.00293118944175503
SCAN_PBE,0.147303295136323,1.04940689937451,1.0,92,-981.399687574426,0.00114758995638664
PBE_SCAN,0.147303295136323,1.04940689937451,1.0,92,-981.399687574426,0.00114758995638664
SCAN_PBE_CCSDT,0.147303295136323,1.04940689937451,0.811345991970619,92,-981.399687574426,0.00114758995638664
PBE_SCAN_CCSDT,0.147303295136323,1.04940689937451,-0.270734239113682,92,-981.399687574426,0.00114758995638664
CCSDT_SCAN,8.87462437436925,1.17863755331461,1.0,90,-881.662352145914,0.00193245400802104
CCSDT_SCAN_PBE,8.87462437436925,1.17863755331461,0.782394238024017,90,-881.662352145914,0.00193245400802104
SCAN_PBE,0.356666888945535,1.04940689937453,1.0,58,-981.399687574426,0.000757092763975025
PBE_SCAN,0.356666888945535,1.04940689937453,1.0,58,-981.399687574426,0.000757092763975025
SCAN_PBE_CCSDT,0.356666888945535,1.04940689937453,0.811345991970619,58,-981.399687574426,0.000757092763975025
PBE_SCAN_CCSDT,0.356666888945535,1.04940689937453,-0.270734239113682,58,-981.399687574426,0.000757092763975025
CCSDT_SCAN,2.30440129915425,1.17863755331459,1.0,95,-881.662352145914,0.0020924933571889
CCSDT_SCAN_PBE,2.30440129915425,1.17863755331459,0.782394238024017,95,-881.662352145914,0.0020924933571889
CCSDT_PBE,0.983242537433518,1.05035592665317,1.0,72,-851.643025601123,0.00168728351035749
CCSDT_PBE_SCAN,0.983242537433518,1.05035592665317,0.782394238024017,72,-851.643025601123,0.00168728351035749
SCAN_PBE,1.14386609625704,1.04940689937451,1.0,53,-981.399687574427,0.000913614334455695
PBE_SCAN,1.14386609625704,1.04940689937451,1.0,53,-981.399687574427,0.000913614334455695
SCAN_PBE_CCSDT,1.14386609625704,1.04940689937451,0.811345991970619,53,-981.399687574427,0.000913614334455695
PBE_SCAN_CCSDT,1.14386609625704,1.04940689937451,-0.270734239113682,53,-981.399687574427,0.000913614334455695
SCAN_PBE,1.17514136858306,1.04940689937452,1.0,90,-981.399687574426,0.00107023764357015
PBE_SCAN,1.17514136858306,1.04940689937452,1.0,90,-981.399687574426,0.00107023764357015
SCAN_PBE_CCSDT,1.17514136858306,1.04940689937452,0.811345991970619,90,-981.399687574426,0.00107023764357015
PBE_SCAN_CCSDT,1.17514136858306,1.04940689937452,-0.270734239113682,90,-981.399687574426,0.00107023764357015
SCAN_PBE,0.288980946878629,1.04940689937452,1.0,100,-981.399687574426,0.000874219015439575
PBE_SCAN,0.288980946878629,1.04940689937452,1.0,100,-981.399687574426,0.000874219015439575
SCAN_PBE_CCSDT,0.288980946878629,1.04940689937452,0.811345991970619,100,-981.399687574426,0.000874219015439575
PBE_SCAN_CCSDT,0.288980946878629,1.04940689937452,-0.270734239113682,100,-981.399687574426,0.000874219015439575
CCSDT_PBE,5.72858850589163,1.05035592665316,1.0,63,-851.643025601123,0.00201462697700396
CCSDT_PBE_SCAN,5.72858850589163,1.05035592665316,0.782394238024017,63,-851.643025601123,0.00201462697700396
SCAN_PBE,1.58662939538728,1.04940689937451,1.0,86,-981.399687574426,0.000807612995325355
PBE_SCAN,1.58662939538728,1.04940689937451,1.0,86,-981.399687574426,0.000807612995325355
SCAN_PBE_CCSDT,1.58662939538728,1.04940689937451,0.811345991970619,86,-981.399687574426,0.000807612995325355
PBE_SCAN_CCSDT,1.58662939538728,1.04940689937451,-0.270734239113682,86,-981.399687574426,0.000807612995325355
SCAN_PBE,0.816983879751255,1.04940689937451,1.0,60,-981.399687574427,0.00109584255083924
PBE_SCAN,0.816983879751255,1.04940689937451,1.0,60,-981.399687574427,0.00109584255083924
SCAN_PBE_CCSDT,0.816983879751255,1.04940689937451,0.811345991970619,60,-981.399687574427,0.00109584255083924
PBE_SCAN_CCSDT,0.816983879751255,1.04940689937451,-0.270734239113682,60,-981.399687574427,0.00109584255083924
SCAN_PBE,1.6025791343267,1.04940689937452,1.0,81,-981.399687574426,0.00109823457531033
PBE_SCAN,1.6025791343267,1.04940689937452,1.0,81,-981.399687574426,0.00109823457531033
SCAN_PBE_CCSDT,1.6025791343267,1.04940689937452,0.811345991970619,81,-981.399687574426,0.00109823457531033
PBE_SCAN_CCSDT,1.6025791343267,1.04940689937452,-0.270734239113682,81,-981.399687574426,0.00109823457531033
SCAN_PBE,2.84574777996947,1.04940689937451,1.0,67,-981.399687574427,0.000978530179950606
PBE_SCAN,2.84574777996947,1.04940689937451,1.0,67,-981.399687574427,0.000978530179950606
SCAN_PBE_CCSDT,2.84574777996947,1.04940689937451,0.811345991970619,67,-981.399687574427,0.000978530179950606
PBE_SCAN_CCSDT,2.84574777996947,1.04940689937451,-0.270734239113682,67,-981.399687574427,0.000978530179950606
